Dataset Title,Dataset Name,Views,Visits,Resource downloads,Period Name
Supplier invoices,supplier-invoices_1,2,0,0,all
National Park Population Estimates (experimental),national_park_population_estimates_experimental_,2,1,0,all
North Lincolnshire Council Candidate Local Wildlife Sites,north-lincolnshire-council-candidate-local-wildlife-sites,2,1,0,all
Soil Series Pesticide,soil-series-pesticide,2,0,0,all
CCO South East topographic 2008,cco-south-east-topographic-2008,2,0,0,all
Groundwater Abstraction  Recharge Circles ,groundwater-abstraction-recharge-circles,2,1,0,all
Over £25000 Spend ICHNT 2014 P02 May Return,over-25000-spend-ichnt-2014-p02-may-return,2,0,0,all
NHS Walsall CCG Greater than £25k Expenditure May 2014,nhs-walsall-ccg-greater-than-25k-expenditure-may-2014,2,0,0,all
"Spend over £25,000 in East Midlands Ambulance Service NHS Trust for June 2011",financial-transactions-data-east-midlands-ambulance-service-nhs-trust-june-2011,2,0,0,all
Protected sites: National Parks - GIS Dataset,protected-sites-national-parks-gis-dataset,2,0,0,all
Payments to suppliers with a value over £25000 from Leeds Community Healthcare NHS Trust,healthcare_spend_over_25000_leedscommunity_may2012,2,0,0,all
CEND 3/12a Seabed Images (CEND = Cefas Endeavour),cend-3-12a-seabed-images-cend-cefas-endeavour,2,1,0,all
Monthly asylum application tables,monthly-asylum-applications,2,0,0,all
Self Assessment 700 Non Resident Company Landlords,self-assessment-700-non-resident-company-landlords_1,2,1,0,all
ATO ,ato,2,2,0,all
Global energy and emissions by country and sector for a current policies scenario 1990 - 2050,global-energy-and-emissions-by-country-and-sector-for-a-current-policies-scenario-1990--2050,2,0,0,all
Authority Pension Scheme Records,authority-pension-scheme-records,2,0,0,all
NHS Leeds spend over £25000 in May 2012,nhsleeds-spend-over-25000-may2012,2,0,0,all
Contract documents,contract-documents,2,0,0,all
Expenditure over Threshold £25k November 2013,expenditure-over-threshold-25k-november-2013,2,0,0,all
Diversity,diversity_1,2,0,0,all
Human Resource Casework,human-resource-casework,2,0,0,all
Fishing Activity for UK Vessels 15m and over 2009 Web Feature Service (WFS),fishing-activity-for-uk-vessels-15m-and-over-2009-web-feature-service-wfs,2,2,0,all
Payments to suppliers with a value over £25000,payments-suppliers-greater-than-25000-may-2012,2,0,0,all
town_centre,town-centre,2,0,0,all
"Spend over £25,000 in NHS Institute for Innovation and Improvement",financial-transactions-data-nhs-institute-for-innovation-and-improvement-april-2011,2,0,0,all
Expenditure Over £25k November 2011,uk-nhsrotherham-expenditure-over-25k-nov-2011,2,0,0,all
Scarborough Borough Council Employment Allocations,scarborough-borough-council-employment-allocations,2,0,0,all
june 2013,june-2013,2,0,0,all
VATZ tables,vatz-tables,2,0,0,all
Live Roadworks API,live-roadworks-api,2,0,0,all
Cleansing Locality Areas,cleansing-locality-areas,2,1,0,all
financial-transactions-data-east-midlands-ambulance-service-nhs-trust-july-2013,financial-transactions-data-east-midlands-ambulance-service-nhs-trust-july-2013,2,0,0,all
Business Continuity Documentation,business-continuity-documentation,2,0,0,all
Index of Deprivation 2004 - Local Concentration,id_2004_local_concentration,2,0,0,all
Map based index (GeoIndex) technical reports,map-based-index-geoindex-technical-reports,2,0,0,all
Non STEPS (Strategic Transfer of the Estate to the Private Sector) information Contract Timber Procurement Policy,non-steps-strategic-transfer-of-the-estate-to-the-private-sector-information-contract-timber-pr,2,1,0,all
No longer in use,financial-transactions-july,2,0,0,all
Air Quality Management Area,air-quality-management-area7,2,0,0,all
Yorkshire & Humberside Local Implementation Plan ,yorkshire-humberside-local-implementation-plan,2,0,0,all
BBSRC 2011 September 25k Spend ,financial-transactions-data-bis-bbsrc-sept-2011,2,0,0,all
UHNS spend over £25k Jul13,uhns-spend-over-25k-jul13,2,0,0,all
2001 Census Coverage Survey (CCS) data for UK,2001-census-coverage-survey-ccs-data-for-uk,2,2,0,all
Student Loans for Higher Education in Scotland,student_loans_for_higher_education_in_scotland_,2,0,0,all
ESRC GPC transactions in June 2014,esrc-gpc-transactions-in-june-2014,2,0,0,all
"NHS England: HES, Person conducting delivery by SHA of treatment 2007-08",england-nhs-person-conducting-delivery-by-sha-of-treatment-2007-08,2,0,0,all
"NHS England: HES, Inpatient main operations summary table 2002-03",england-nhs-inpatient-main-operations-summary-table-2002-03,2,0,0,all
Village Green,village-green1,2,0,0,all
Destinations Survey 2011,destinations-survey-2011_1,2,0,0,all
"NHS England: HES, Inpatient Primary Diagnosis 3 character table 2005-06",england-nhs-inpatient-primary-diagnosis-3-character-table-2005-06,2,0,0,all
NICE Board members' and Senior Management Team allowances and expenses,nice-board-members-and-senior-management-team-allowances-and-expenses,2,0,0,all
Occupational Pension Schemes Survey short stories,occupational_pension_schemes_survey_short_stories,2,0,0,all
February 2014 over £25k Spend,february-2014-over-25k-spend,2,0,0,all
World Explorer Premium,world-explorer-premium,2,2,0,all
GM Machinery,gm-machinery,2,1,0,all
ESRC expenditure in December 2012,esrc-expenditure-in-december-2012,2,0,0,all
Estates & Support Services (ESS) work received in and allocated to the contract management team (CPCT Portal),estates-support-services-ess-work-received-in-and-allocated-to-the-contract-management-team-cpc,2,0,0,all
Taunton and Somerset NHS Foundation Trust Expenditure Over £25k June 2010,tsft-spend-over-25k-jun10,2,0,0,all
Gifts and hospitality,gifts-and-hospitality,2,0,0,all
Payments to suppliers with a valueover £25000 Feb 2014,payments-to-suppliers-with-a-valueover-25000-feb-2014,2,0,0,all
Antibody-Mediated Insect Pest Control,antibody-mediated-insect-pest-control,2,2,0,all
Personal licences (sale of alcohol),personal-licences-sale-of-alcohol,2,0,0,all
Service Catalogue,service-catalogue,2,0,0,all
Training Needs Analysis,training-needs-analysis,2,0,0,all
AP and GL Expenditure May 2011,surrey-and-sussex-healthcare-nhs-trust-ap-and-gl-expenditure-may-11,2,0,0,all
1981 Census - 10% National File,1981-census--10-national-file,2,0,0,all
Standards database identifying HSE’s role in Technical Standards work,standards-database-identifying-hses-role-in-technical-standards-work_1,2,2,0,all
Change of Work Orders (CWO),change-of-work-orders-cwo,2,0,0,all
Planned and past events,planned-and-past-events,2,0,0,all
Senior Staff Quarterly returns - Travel,senior-staff-quarterly-returns--travel,2,0,0,all
"NHS England: HES, Main specialty of consultant with prime responsibility for patient 2006-07",england-nhs-main-specialty-2006-07,2,0,0,all
Corporate information,corporate-information,2,0,0,all
Formation of 2-alkyl cyclobutanones,formation-of-2-alkyl-cyclobutanones,2,2,0,all
Staff Engagement,staff-engagement_1,2,0,0,all
Map based index (GeoIndex) onshore drillcore,map-based-index-geoindex-onshore-drillcore,2,0,0,all
Austerity data,austerity-data,2,0,0,all
Supplier invoices,supplier-invoices,2,0,0,all
Scotland's wildness - absence of modern artifacts,scotlands-wildness-absence-of-modern-artifacts,2,0,0,all
Six Month Offer ,six-month-offer,2,1,0,all
"Countries (E+W) Dec 2012 Boundaries (Generalised, Clipped)",countries-ew-dec-2012-boundaries-generalised-clipped,2,0,0,all
"Scottish Settlements, 2006",scottish-settlements-2006,2,0,0,all
Secondment & Interchange Spreadsheets,secondment-interchange-spreadsheets,2,1,0,all
Estates Project cost plans,estates-project-cost-plans,2,0,0,all
"Scottish Settlements, 2003",scottish-settlements-2003,2,0,0,all
Compliance perceptions survey (CPS) data,compliance-perceptions-survey-cps-data,2,0,0,all
Interest Survey,interest-survey,2,0,0,all
"Spend over £25,000 in North East Ambulance Service NHS Trust",financial-transactions-data-north-east-ambulance-service-nhs-trust-feb11,2,0,0,all
Computerisation Of PAYE  (COP),computerisation-of-paye-cop,2,2,0,all
Wedding venue licences,wedding-venue-licences,2,1,0,all
SeaZone Charted Raster Datasets,seazone-charted-raster-datasets,2,0,0,all
Scottish Natural Heritage (SNH) National Nature Reserves Dataset,scottish-natural-heritage-snh-national-nature-reserves-dataset,2,0,0,all
"NHS England: HES, External cause 2003-04",england-nhs-external-cause-2003-04,2,0,0,all
CCO North East topographic 2013,cco-north-east-topographic-2013,2,0,0,all
Distribution across grades [Workforce Diversity],distribution-across-grades-workforce-diversity,2,0,0,all
Raw Soil Pit Site Information,raw-soil-pit-site-information,2,0,0,all
Work packages,work-packages,2,2,0,all
HR Customer Queries,hr-customer-queries,2,0,0,all
"Number of educational visits to historic properties, collections and tailored learning activities and resources* ",number-of-educational-visits-to-historic-properties-collections-and-tailored-learning-activitie,2,0,0,all
Staff joiners and leavers data,staff-joiners-and-leavers-data_1,2,1,0,all
Notarial work,notarial-work,2,0,0,all
Naturally Available Resource - AvQ70Q95 ups ,naturally-available-resource--avq70q95-ups,2,0,0,all
"Spend over £25,000 in George Eliot Hospital NHS Trust November 2011",november-2011-financial-transactions-data-george-eliot-hospital-nhs-trust,2,0,0,all
Ancillary Costs Survey (ACS),ancillary-costs-survey-acs_1,2,0,0,all
Multilocus sequence typing (MLST) database for group A streptococci,multilocus-sequence-typing-mlst-database-for-group-a-streptococci,2,2,0,all
DTrgA Business Continuity Call Out List,dtrga-business-continuity-call-out-list,2,0,0,all
NIHE District Office Boundaries (Metadata),nihe-district-office-boundaries-metadata,2,1,0,all
Office Furniture Specifications ,office-furniture-specifications,2,0,0,all
Business Continuity Documents,business-continuity-documents,2,0,0,all
Scottish Natural Heritage (SNH) Country Parks Dataset,scottish-natural-heritage-snh-country-parks-dataset,2,0,0,all
"Welsh Travel To Work Areas, 2001",welsh-travel-to-work-areas-2001,2,0,0,all
Emission factor and implied emission factors detailed by source and fuel,emission-factor-and-implied-emission-factors-detailed-by-source-and-fuel1,2,0,0,all
Capital Gains Tax,capital-gains-tax,2,0,0,all
Green Deal subsidy omnibus,green-deal-subsidy-omnibus,2,0,0,all
Data on business critical assets,data-on-business-critical-assets,2,1,0,all
"NHS England: HES, Method of delivery by person conducting delivery 2007-08",england-nhs-method-of-delivery-by-person-conducting-delivery-2007-08,2,0,0,all
Non-confidential waste,non-confidential-waste,2,0,0,all
NHS Leeds spend over £25000 in April 2012,nhsleeds-spend-over-25000-april2012,2,0,0,all
Guernsey and Jersey sales and tax data small consignments,guernsey-and-jersey-sales-and-tax-data-small-consignments_1,2,1,0,all
FCO Ministers Quarterly Return - April to June 2012,fco-ministers-quarterly-return-april-to-june-2012,2,1,0,all
"Spend over £25,000 in Walsall Hospitals Nhs Trust",december-financial-transactions-data-walsall-hospitals-nhs-trust,2,0,0,all
United Kingdom Fish Landings by International Council for the Exploration of the Sea (ICES) rectangle (all vessels) 2011,united-kingdom-fish-landings-by-international-council-for-the-exploration-of-the-sea-ices--2011,2,0,0,all
Pike growth data 1944-1995,pike-growth-data-1944-19951,2,1,0,all
NHS Stoke June 2010 Spend Over 25K,nhssot-expenditure-over25k-june-2010,2,0,0,all
Audit Commission Spend  Data April 2011,uk-audit-commission-spend-data-april-2011,2,0,0,all
Contact Management Application (CMA),contact-management-application-cma,2,0,0,all
Organisational Annual reports and Accounts,organisational-annual-reports-and-accounts,2,0,0,all
Non-domestic Energy Performance Certificate data - historic (England and Wales),non-domestic-energy-performance-certificate-data--historic-england-and-wales,2,0,0,all
Ceaser Reports,ceaser-reports,2,0,0,all
Overpayment Archive Database,overpayment-archive-database,2,0,0,all
Map based index (GeoIndex) stream sediment,map-based-index-geoindex-stream-sediment,2,0,0,all
inspire_parking_zones_2009,inspire-parking-zones-2009,2,0,0,all
Financial Penalties,financial-penalties,2,0,0,all
Conference participant country,conference-participant-country,2,0,0,all
Local Plan 2004 Major Developed Sites in the Green Belt,local-plan-2004-major-developed-sites-in-the-green-belt,2,2,0,all
General ledger,general-ledger_1,2,1,0,all
SNPA - ELDP areas safeguarded for minerals,snpa-eldp-areas-safeguarded-for-minerals,2,0,0,all
Planning Service (NI) Built Environment Conservation Areas (Pre-defined Download),planning-service-ni-built-environment-conservation-areas-pre-defined-download,2,0,0,all
Small pelagic fish in the Western Channel and the Celtic Sea - PELTIC11,small-pelagic-fish-in-the-western-channel-and-the-celtic-sea--peltic11,2,2,0,all
One North East Prompt Payment Report November 2011,onenortheastpromptpaymentreportnovember2011,2,0,0,all
The Pensions Advisory Service payroll Data,the-pensions-advisory-service-payroll-data,2,0,0,all
ROS - Cadastral Parcel Reference Points Nairn- DATASET,ros-cadastral-parcel-reference-points-nairn-dataset,2,0,0,all
ROS - Cadastral Parcel Reference Points Peebles- DATASET,ros-cadastral-parcel-reference-points-peebles-dataset,2,0,0,all
The Concessionary Fuel System (ConFuel 3),the-concessionary-fuel-system-confuel-3,2,2,0,all
Overseas Fiscal Authorities (OFA) ,overseas-fiscal-authorities-ofa,2,2,0,all
"British Geological Survey Data 1:625,000",british-geological-survey-data-1-625000,2,0,0,all
Prompt payment statistics for June 2011 from Acas,prompt-payments-june-2011-from-acas,2,0,0,all
Spend over 25K in April 2011 for Coventry & Warwickshire Partnership Trust,spend-over-25k-in-april-2011-for-coventry-warwickshire-partnership-trust,2,0,0,all
"Spend over £25,000 in North Middlesex University Hospital NHS Trust",financial-transactions-data-north-middlesex-university-hospital-nhs-trust-february-2012,2,0,0,all
Air quality indicator for sustainable development,air_quality_indicator_for_sustainable_development_,2,1,0,all
US Universities,us-universities,2,0,0,all
"Payments to suppliers over £25,000 from Northern Devon Healthcare Trust",financial-transactions-over-25000-northern-devon-healthcare-trust-december2011,2,1,0,all
"NHS England: HES, Inpatient Primary Diagnosis 3 character table 2000-01",england-nhs-inpatient-primary-diagnosis-3-character-table-2000-01,2,0,0,all
http://www.dudleyccg.nhs.uk/wp-content/uploads/2013/04/June-2014.xls,http-www-dudleyccg-nhs-uk-wp-content-uploads-2013-04-june-2014-xls,2,0,0,all
3 class sparsity,3-class-sparsity,2,2,0,all
ACT,act,2,0,0,all
"Spend over Â£25,000 in Child Maintenance and Enforcement Commission ",spend-over-25000-in-child-maintenance-and-enforcement-commission,2,0,0,all
Mid & Final Year Funding Claims,mid-final-year-funding-claims,2,1,0,all
Taunton and Somerset NHS Foundation Trust Expenditure Over £25k January 2012,tsft-spend-over-25k-january12,2,0,0,all
NI 108h - Key Stage 4 attainment for black and minority ethnic groups,ni-108h-key-stage-4-attainment-for-black-and-minority-ethnic-groups,2,0,0,all
1980 North-East Irish Sea Groundfish Survey Catch Data - Silver Star Series,1980-north-east-irish-sea-groundfish-survey-catch-data--silver-star-series,2,0,0,all
European Regional Development Fund 2000-2006 'TESA' System,european-regional-development-fund-2000-2006-tesa-system,2,0,0,all
"Land Cover Map 2000 (1km dominant subclass, GB)",land-cover-map-2000-1km-dominant-subclass-gb1,2,0,0,all
Safeguarding,safeguarding,2,0,0,all
"NHS England: HES, Method of delivery by method of onset of labour 2007-08",england-nhs-method-of-delivery-by-method-of-onset-of-labour2007-08,2,0,0,all
Illegal Dyes in Fish,illegal-dyes-in-fish,2,1,0,all
Customer Disputes Overpayment Decision,customer-disputes-overpayment-decision,2,1,0,all
"Scottish European Constituencies, 1991",scottish-european-constituencies-1991,2,0,0,all
Pay As You Earn (PAYE) Real Time Information (RTI),pay-as-you-earn-paye-real-time-information-rti,2,0,0,all
Maldon Market Place,maldon-market-place,2,0,0,all
UK Overseas Territories Bio-security enhancement,uk-overseas-territories-bio-security-enhancement,2,0,0,all
inspire_ldp_town_centre_and_edge_of_town_centre_redevelopmen,inspire-ldp-town-centre-and-edge-of-town-centre-redevelopmen,2,0,0,all
CEDaR Fen Survey of Plants (Pre-defined Download),cedar-fen-survey-of-plants-pre-defined-download,2,0,0,all
Map based index (GeoIndex) geochemical samples,map-based-index-geoindex-geochemical-samples,2,0,0,all
Haddock Annual Data Files for Stock Assessments,haddock-annual-data-files-for-stock-assessments,2,1,0,all
Polling Places,polling-places1,2,0,0,all
Internal DECC variables (NOT FOR CIRCULATION),internal-decc-variables-not-for-circulation,2,1,0,all
Social Justice Familiy Stability Indicator,social_justice_familiy_stability_indicator,2,0,0,all
Executive Board Members' expenses,executive-board-members-expenses,2,0,0,all
OS Strategi®,os-strategi1,2,0,0,all
East Asia Office Customer Correspondence,east-asia-office-customer-correspondence,2,0,0,all
Fish Landings to United Kingdom Ports 2008 Web Feature Service (WFS),fish-landings-to-united-kingdom-ports-2008-web-feature-service-wfs,2,0,0,all
CEDaR Chough Option ESA (Pre-defined Download),cedar-chough-option-esa-pre-defined-download,2,1,0,all
Estates & Support Services (ESS) Contract Management Team Human Resources,estates-support-services-ess-contract-management-team-human-resources,2,0,0,all
Debt Management Clerical Database,debt-management-clerical-database_1,2,0,0,all
Work Inventory,work-inventory,2,0,0,all
January 14 over £25k expenditure,january-14-over-25k-expenditure,2,0,0,all
Salford Parks,salford-parks1,2,0,0,all
"NHS England: HES, Inpatient main operations 4 character table 2002-03",england-nhs-inpatient-main-operations-4-character-table-2002-03,2,0,0,all
"NHS North Staffordshire June 2011 spend over £25,000",nhs_north_staffs_06_2011,2,0,0,all
B'ham Cross City >25K March 2014,b-ham-cross-city-25k-march-2014,2,0,0,all
Surrey and Sussex Healthcare NHS Trust AP and GL Expenditure February 2014,surrey-and-sussex-healthcare-nhs-trust-ap-and-gl-expenditure-february-2014,2,1,0,all
Atlas Financials,atlas-financials,2,1,0,all
BRNC - College Database,brnc--college-database,2,1,0,all
Application for exemption business cases (Minimum Level of Performance),application-for-exemption-business-cases-minimum-level-of-performance,2,0,0,all
Official Development Assistance (ODA) British Council,official-development-assistance-oda-british-council,2,0,0,all
"1990 Southampton Oceanography Centre, The Infauna of the Handfast Point Maerl Bed, Day Grab survey",1990-southampton-oceanography-centre-the-infauna-of-the-handfast-point-maerl-bed-day-grab-surve,2,0,0,all
United Kingdom Fish Landings by ICES rectangle (by vessel length) 2011 Web Mapping Service (WMS),united-kingdom-fish-landings-by-ices-rectangle-by-vessel-length-2011-web-mapping-service-wms,2,0,0,all
"Over £25,000 spend ICHNT 2012 P07 October Return",over-25-000-spend-ichnt-2012-p07-october-return,2,0,0,all
Performance Management Reporting on customers experience (customers find us straightforward to deal with) ,performance-management-reporting-on-customers-experience-customers-find-us-straightforward-to-d,2,0,0,all
Sales Invoices,sales-invoices_2,2,0,0,all
YDNPA Housing development boundaries - Small villages,ydnpa-housing-development-boundaries-small-villages,2,1,0,all
north lincolnshire council constitution,north-lincolnshire-council-constitution,2,0,0,all
Forestry Commission England Corporate Plan Performance Indicators Input Indicator 1 supporting dataset,forestry-commission-england-corporate-plan-performance-indicators-input-indicator-1-supporting-,2,0,0,all
Payments to suppliers with a value over £25000,payments-suppliers-greater-than-25000-apr-2012,2,0,0,all
Tax Free Savings (TFS) Manager System,tax-free-savings-tfs-manager-system,2,0,0,all
Quarterly rolling year internal migration estimates,quarterly-rolling-year-internal-migration-estimates,2,0,0,all
"NHS England: HES, Inpatient main operations 4 character table 2001-02",england-nhs-inpatient-main-operations-4-character-table-2001-02,2,0,0,all
GH Event guest / host data,gh-event-guest--host-data,2,0,0,all
Revenue Losses,revenue-losses_1,2,1,0,all
Consumer Council for Water (CCW) Government Procurement Card spend transactions over Â£500,consumer-council-for-water-ccw-government-procurement-card-spend-transactions-over-500,2,0,0,all
Local Plan 2004 Transport,local-plan-2004-transport,2,0,0,all
Countryside Survey 2007 mapped estimates of Broad Habitat areas in Great Britain,countryside-survey-2007-mapped-estimates-of-broad-habitat-areas-in-great-britain,2,0,0,all
European Social Fund  ,european-social-fund,2,0,0,all
Allerdale Policy Housing Allocation,allerdale-policy-housing-allocation,2,1,0,all
Children and Family Court Advisory and Support Service Commissioning,children-and-family-court-advisory-and-support-service-commissioning,2,0,0,all
Discretionary Housing Payments in Scotland,discretionary_housing_payments_in_scotland,1,1,0,all
"Spend over £25,000 in November 2010",dartford-and-gravesham-financial-transactions-november2010,1,0,0,all
Radionuclide depostion data in Finland,radionuclide-depostion-data-in-finland,1,0,0,all
1982 Irish Sea Plankton Data - Research Vessel Clione 06/82,1982-irish-sea-plankton-data--research-vessel-clione-06-82,1,1,0,all
Trust Agents,trust-agents_1,1,0,0,all
2004-2007 Benthos Sampling Data - biotopes,2004-2007-benthos-sampling-data--biotopes,1,0,0,all
Accommodation Adaptions,accommodation-adaptions,1,0,0,all
Board of Trustees Members' Register of interests,board-of-trustees-members-register-of-interests_1,1,1,0,all
NHS Rotherham CCG Expenditure over £25K Jun 2014,nhs-rotherham-ccg-expenditure-over-25k-jun-2014,1,0,0,all
Procedural Document Management System,procedural-document-management-system,1,1,0,all
Spend over £25k in October 2010,eoe_shs_exp_oct_10,1,0,0,all
BBSRC 2011 May 25k Spend ,financial-transactions-data-bis-bbsrc-may-2011,1,0,0,all
ESSnet finance,essnet-finance,1,0,0,all
Coronary Heart Disease Statistics update,coronary_heart_disease_statistics_update______,1,1,0,all
Veterans World Distribution Database,veterans-world-distribution-database,1,1,0,all
NHS South Manchester CCG over 25K spend November 2013,nhs-south-manchester-ccg-over-25k-spend-november-2013,1,0,0,all
1995-2002 Wash and Adjacent Areas Shrimp Monitoring Programme,1995-2002-wash-and-adjacent-areas-shrimp-monitoring-programme,1,0,0,all
CEDaR ESA Monitoring (Pre-defined Download),cedar-esa-monitoring-pre-defined-download,1,0,0,all
Over 25K spend North CCG 2014,over-25k-spend-north-ccg-2014,1,0,0,all
Payables Ledger,payables-ledger,1,0,0,all
Peterborough City Council - Budget spend on older person services,peterborough-city-council-budget-spend-on-older-person-services,1,0,0,all
Leprosy Surveillance,leprosy-surveillance,1,0,0,all
Over £25K expenditure for Avon and Wiltshire Mental Health Partnership NHS Trust May 2014,over-25k-expenditure-for-avon-and-wiltshire-mental-health-partnership-nhs-trust-may-2014,1,0,0,all
Approved laboratories ,approved-laboratories,1,0,0,all
CEDaR EHS Habitat Survey Team (Metadata),cedar-ehs-habitat-survey-team-metadata,1,0,0,all
Test MS Oct Monday,test_ms_oct_monday,1,0,0,all
Fish Landings to United Kingdom Ports 2009 Web Mapping Service (WMS),fish-landings-to-united-kingdom-ports-2009-web-mapping-service-wms,1,1,0,all
july northccg,july-northccg,1,0,0,all
Fleming cases Database,fleming-cases-database_1,1,1,0,all
Exercises - File Checking and Rank Exercise,exercises--file-checking-and-rank-exercise,1,0,0,all
ETHOS,ethos,1,0,0,all
Project Register,project-register_2,1,0,0,all
Tax Revenue Forecasts,tax-revenue-forecasts_1,1,0,0,all
http://www.dudleyccg.nhs.uk/wp-content/uploads/2013/04/December-2013.xls,http-www-dudleyccg-nhs-uk-wp-content-uploads-2013-04-december-2013-xls,1,0,0,all
CIO-DSAS Information Asset Register,cio-dsas-information-asset-register,1,1,0,all
Horizons,horizons1,1,0,0,all
Dublin Cash Office Database,dublin-cash-office-database,1,0,0,all
Unit Trusts: Quarterly Transactions,unit-trusts-quarterly-transactions,1,1,0,all
"April 2014 spend over £25,000 in George Eliot Hospital NHS Trust",april-2014-spend-over-25-000-in-george-eliot-hospital-nhs-trust,1,0,0,all
CEND 8/12b Acoustic Data (CEND = Cefas Endeavour),cend-8-12b-acoustic-data-cend-cefas-endeavour,1,0,0,all
National Insurance Recording System (NIRS2 - now part of NPS) - 1% sample ,national-insurance-recording-system-nirs2--now-part-of-nps--1-sample,1,0,0,all
Calibre System (Dublin Cash Office),calibre-system-dublin-cash-office,1,0,0,all
North Lincolnshire Council Mineral Sites - Mineral Applications,north-lincolnshire-council-mineral-sites-mineral-applications,1,0,0,all
2004 2D Modelled 1-in-200 Tidal Flood Depth Grids ,2004-2d-modelled-1-in-200-tidal-flood-depth-grids,1,1,0,all
Loughs Agency European Smelt Presence (Metadata),loughs-agency-european-smelt-presence-metadata1,1,0,0,all
Adventure Activities Licensing Authority (AALA) register of licence holders.,adventure-activities-licensing-authority-aala-register-of-licence-holders-_1,1,0,0,all
Gelatine Species Identification,gelatine-species-identification,1,1,0,all
June-2014-financial-transactions-data-walsall-healthcare-nhs-trust,june-2014-financial-transactions-data-walsall-healthcare-nhs-trust,1,0,0,all
Control of Lead at Work (CLAWD),control-of-lead-at-work-clawd,1,0,0,all
"Payments to Supplier over £25,000 threshold June-12",payments-to-supplier-over-25-000-threshold-june-12,1,0,0,all
Supplier information dataset,supplier-information-dataset,1,0,0,all
Peterborough City Council - Price for older person placements,peterborough-city-council-price-for-older-person-placements,1,0,0,all
GSNI Regional Airborne Magnetics Survey 1959 (Metadata),gsni-regional-airborne-magnetics-survey-1959-metadata,1,0,0,all
Parcel Information Evaluator,parcel-information-evaluator,1,0,0,all
UHNS over £25k Jun13,uhns-over-25k-jun13,1,0,0,all
RHPP2 admin data,rhpp2-admin-data,1,1,0,all
NHS Sheffield CCG Expenditure over £25K Jul 2014,nhs-sheffield-ccg-expenditure-over-25k-jul-2014,1,0,0,all
AFBI - Marine - Salmon Management Plan (Pre-defined Download),afbi-marine-salmon-management-plan-pre-defined-download,1,0,0,all
"1985 Institute of Offshore Engineering (Heriot-Watt University), Poole Harbour, Biological and chemical intertidal transect survey",1985-institute-of-offshore-engineering-heriot-watt-university-poole-harbour-biological-and-chem,1,1,0,all
ESRC GPC Transactions in April 2013,esrc-gpc-transactions-in-april-2013,1,0,0,all
http://www.dudleyccg.nhs.uk/wp-content/uploads/2013/04/November-2013.xls,http-www-dudleyccg-nhs-uk-wp-content-uploads-2013-04-november-2013-xls,1,0,0,all
ESRC GPC Transactions in March 2013,esrc-gpc-transactions-in-march-2013,1,0,0,all
Flexible Deployment Tool,flexible-deployment-tool,1,0,0,all
S Tables Spreadsheet ,s-tables-spreadsheet,1,0,0,all
Solihull CCG Over 25K Expenditure April 2014,solihull-ccg-over-25k-expenditure-april-2014,1,0,0,all
Statutory Instrument,statutory-instrument,1,1,0,all
Bonus Scheme,bonus-scheme,1,0,0,all
Estimating the non-market benefits of Environmental Stewardship,estimating-the-non-market-benefits-of-environmental-stewardship,1,1,0,all
Southend Local Listed Buildings,southend-local-listed-buildings,1,1,0,all
Pensions Rgulator personnel data (CIPHR),pensions-rgulator-personnel-data-ciphr_1,1,0,0,all
VOICES survey data,voices-survey-data,1,0,0,all
Expansion Areas,expansion-areas,1,0,0,all
Inquiry of Activity for Construction & Allied Trades statistical bulletin,inquiry-of-activity-for-construction-allied-trades-statistical-bulletin,1,1,0,all
Pesticides Residues Committee,pesticides-residues-committee,1,1,0,all
Spend Over 25K August 2011 from Coventry And Warwickshire Partnership Trust,spend-over-25k-august-2011-coventry-and-warwickshire-partnership-trust,1,0,0,all
Payments to suppliers with a value over £25000,payments-suppliers-greater-than-25000-feb-2012,1,0,0,all
Solicitors Contract meetings,solicitors-contract-meetings,1,0,0,all
UK 12M fish limit,uk-12m-fish-limit,1,0,0,all
Fishing Activity for ? 15m United Kingdom Vessels 2010,fishing-activity-for-15m-united-kingdom-vessels-2010,1,0,0,all
"Spend over £25,000 by West Midlands Strategic Health Authority",financial-transactions-data-west-midlands-strategic-health-authority-july-2011,1,0,0,all
1984 North-East Irish Sea Groundfish Survey Catch Data - Silver Star Series,1984-north-east-irish-sea-groundfish-survey-catch-data--silver-star-series,1,0,0,all
United Kingdom Fish Landings by  International Council for the Exploration of the Sea (ICES) rectangle (all vessels) 2009,united-kingdom-fish-landings-by-international-council-for-the-exploration-of-the-sea-ices--2009,1,0,0,all
LP96 Urban District Boundary,lp96-urban-district-boundary,1,1,0,all
ESRC GPC Transactions  Jan 2013,esrc-gpc-transactions-jan-2013,1,0,0,all
Territorial waters limits,territorial-waters-limits,1,0,0,all
Allerdale Light Obstruction Notice Land Charge,allerdale-light-obstruction-notice-land-charge,1,1,0,all
"Spend over £25,000 in NHS Kent and Medway",nhs-kent-and-medway-spend-over-25k,1,0,0,all
NIHE Area Office Boundaries (Metadata),nihe-area-office-boundaries-metadata,1,0,0,all
Inflow Volumes,inflow-volumes,1,0,0,all
Email Refund Certificate Applications database,email-refund-certificate-applications-database,1,0,0,all
Surplus or Deficit - Future Predicted ,surplus-or-deficit--future-predicted,1,0,0,all
ESRC GPC Transactions in May 2013,esrc-gpc-transactions-in-may-2013,1,0,0,all
CCO South East singlebeam bathymetry 2005,cco-south-east-singlebeam-bathymetry-2005,1,0,0,all
